trial_id,offence_pp_general,offence_pp,pp_sentence_years,trial_month,trial_year,trial_place,pris_ht_pp,def_age_pp,def_literacy,def_religion_pp,marital_status_pp,children_nr,cash_sav_pp,occupation_pp,coloffence_info,offence_ni,death_in_custody_pp,length_of_stay_until_probat,length_of_stay_until_tl,previous_convictions
696410,STEALING,STEALING,99.0,10,1844,UNKNOWN,157.48,25.0,3.0,Protestant,S,2.0,78.0,FARM LABOURER,False,True,True,3.649315068493151,7.795890410958904,False
696411,STEALING,BURGLARY,10.0,2,1845,UNKNOWN,160.02,26.0,3.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,4.863013698630137,False
696412,STEALING,BURGLARY,10.0,10,1844,UNKNOWN,157.48,23.0,3.0,Protestant,S,2.0,96.0,TAILOR,False,True,False,4.021917808219178,7.795890410958904,False
696413,ASSAULT,MURDER,99.0,6,1844,CENTRAL CRIMINAL COURT,167.64,54.0,3.0,Protestant,W,4.0,48.0,UNKNOWN,False,False,True,3.649315068493151,8.70958904109589,False
696414,ROBBERY,HIGHWAY_ROBBERY,15.0,3,1845,UNKNOWN,165.1,28.0,3.0,Protestant,S,2.0,58.0,GROOM,False,True,False,3.649315068493151,6.876712328767123,False
696415,STEALING,BURGLARY,99.0,5,1844,UNKNOWN,165.1,42.0,2.0,Protestant,M,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696416,ASSAULT,MANSLAUGHTER,99.0,3,1845,WORCESTER ASSIZES,165.1,34.0,2.0,UNKNOWN,M,4.0,48.0,CARPENTER,False,False,True,3.649315068493151,7.795890410958904,False
696417,ASSAULT,MANSLAUGHTER,99.0,2,1845,UNKNOWN,177.8,34.0,2.0,Roman Catholic,W,2.0,48.0,UNKNOWN,False,False,True,3.649315068493151,7.795890410958904,False
696418,ASSAULT,MANSLAUGHTER,99.0,7,1844,UNKNOWN,160.02,37.0,3.0,Roman Catholic,M,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696419,STEALING,BURGLARY,10.0,3,1845,UNKNOWN,165.1,22.0,2.0,UNKNOWN,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696420,ASSAULT,CUTTING,15.0,12,1844,DURHAM ASSIZES,177.8,40.0,3.0,Protestant,M,2.0,48.0,SAILOR,False,True,False,3.649315068493151,7.795890410958904,False
696421,STEALING,BURGLARY,10.0,11,1844,CENTRAL CRIMINAL COURT,162.56,38.0,3.0,Protestant,S,2.0,48.0,TAILOR,False,True,False,3.649315068493151,7.795890410958904,False
696422,UNKNOWN,UNKNOWN,21.0,2,1844,UNKNOWN,180.34,22.0,3.0,Presbyterian,S,2.0,48.0,GROOM,False,False,False,1.9616438356164383,7.795890410958904,False
696423,SEXUAL,RAPE,99.0,3,1845,LIVERPOOL,177.8,38.0,3.0,Protestant,M,1.0,48.0,UNKNOWN,False,False,False,4.271232876712329,7.795890410958904,False
696424,DESTRUCTION,ARSON,15.0,12,1844,STAFFORD,175.26,26.0,3.0,Quaker,S,2.0,48.0,BAKER,False,True,False,3.3808219178082193,7.795890410958904,False
696425,ROBBERY,HIGHWAY_ROBBERY,15.0,12,1844,WORCESTER ASSIZES,167.64,22.0,0.0,Protestant,S,2.0,48.0,COLLIER,False,True,False,3.649315068493151,7.795890410958904,False
696426,ROBBERY,ROBBERY,15.0,7,1844,MAIDSTONE ASSIZES,165.1,37.0,3.0,Presbyterian,S,2.0,48.0,SEAMAN,False,True,True,3.0465753424657533,7.795890410958904,False
696427,STEALING,BURGLARY,10.0,3,1845,CENTRAL CRIMINAL COURT,167.64,25.0,3.0,Protestant,S,2.0,48.0,DOMESTIC,False,True,False,3.2958904109589042,5.038356164383561,False
696428,STEALING,BURGLARY,15.0,12,1844,UNKNOWN,162.56,22.0,2.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,6.616438356164384,False
696429,STEALING,BURGLARY,10.0,3,1845,UNKNOWN,165.1,22.0,2.0,Protestant,S,2.0,48.0,STONEMASON,False,True,False,3.649315068493151,4.712328767123288,False
696430,STEALING,BURGLARY,99.0,3,1845,UNKNOWN,160.02,32.0,2.0,Protestant,M,2.0,16.0,STONEMASON,False,False,False,3.5315068493150683,7.795890410958904,False
696431,STEALING,BURGLARY,10.0,3,1845,UNKNOWN,165.1,23.0,3.0,Protestant,S,2.0,33.0,CARPENTER,False,True,False,3.649315068493151,7.795890410958904,False
696432,STEALING,BURGLARY,10.0,12,1844,UNKNOWN,157.48,32.0,3.0,Protestant,M,4.0,48.0,CARPENTER,False,True,False,3.649315068493151,7.795890410958904,False
696433,STEALING,STEALING,99.0,12,1844,WORCESTER ASSIZES,175.26,28.0,3.0,Unitarian,S,2.0,48.0,CARPENTER,False,True,False,3.863013698630137,7.795890410958904,False
696434,STEALING,BURGLARY,15.0,12,1844,DERBY ASSIZES,175.26,27.0,0.0,Protestant,M,2.0,42.0,BOATMAN,False,True,False,3.649315068493151,7.795890410958904,False
696435,UNKNOWN,UNKNOWN,99.0,10,1844,UNKNOWN,167.64,25.0,3.0,Presbyterian,S,2.0,48.0,SHOEMAKER,False,False,False,4.1287671232876715,10.613698630136986,False
696436,STEALING,STEALING,99.0,3,1845,UNKNOWN,154.94,46.0,3.0,Protestant,S,2.0,36.0,FARM LABOURER,False,True,False,4.293150684931507,7.795890410958904,False
696437,STEALING,BURGLARY,15.0,12,1844,DERBY ASSIZES,167.64,34.0,3.0,Protestant,M,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696438,ROBBERY,ROBBERY,15.0,10,1844,CENTRAL CRIMINAL COURT,167.64,21.0,3.0,Roman Catholic,S,2.0,48.0,BUTCHER,False,True,False,3.649315068493151,7.795890410958904,False
696439,SEXUAL,RAPE,99.0,12,1844,CHESTER ASSIZES,170.18,31.0,3.0,Protestant,M,3.0,48.0,UNKNOWN,False,True,True,3.649315068493151,7.795890410958904,False
696440,STEALING,BURGLARY,10.0,11,1844,UNKNOWN,154.94,22.0,2.0,Protestant,S,2.0,48.0,LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696441,STEALING,BURGLARY,99.0,11,1844,YORKSHIRE,162.56,34.0,3.0,Protestant,S,2.0,48.0,WEAVER,False,False,True,4.024657534246575,7.795890410958904,False
696442,STEALING,BURGLARY,15.0,12,1844,UNKNOWN,170.18,20.0,2.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,10.473972602739726,False
696443,PROCESSING,RECEIVING_STOLEN_GOODS,10.0,12,1844,UNKNOWN,154.94,26.0,0.0,Protestant,S,2.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696444,STEALING,BURGLARY,10.0,12,1844,UNKNOWN,165.1,22.0,0.0,Protestant,S,2.0,48.0,FARM LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696445,STEALING,STEALING,7.0,1,1845,CENTRAL CRIMINAL COURT,157.48,24.0,3.0,Roman Catholic,S,2.0,48.0,UNKNOWN,False,True,False,3.649315068493151,7.795890410958904,False
696446,STEALING,STEALING,7.0,11,1844,CENTRAL CRIMINAL COURT,157.48,27.0,0.0,Protestant,S,2.0,48.0,UNKNOWN,False,True,False,2.871232876712329,7.795890410958904,False
696447,SEXUAL,RAPE,99.0,3,1845,LIVERPOOL,175.26,60.0,0.0,Roman Catholic,M,3.0,48.0,CARPENTER,False,False,False,3.649315068493151,8.465753424657533,False
696448,ASSAULT,WOUNDING,15.0,10,1844,CENTRAL CRIMINAL COURT,167.64,26.0,3.0,Roman Catholic,M,2.0,48.0,UNKNOWN,False,False,False,3.649315068493151,7.795890410958904,False
696449,STEALING,BURGLARY,15.0,3,1845,DERBY ASSIZES,167.64,30.0,2.0,Protestant,S,2.0,48.0,COLLIER,False,True,False,3.649315068493151,7.795890410958904,False
696450,STEALING,STEALING,20.0,11,1844,YORKSHIRE,170.18,28.0,2.0,Roman Catholic,S,2.0,48.0,FARM LABOURER,False,True,False,3.649315068493151,7.795890410958904,False
696451,ROBBERY,ROBBERY,99.0,8,1843,UNKNOWN,160.02,26.0,2.0,Protestant,S,2.0,48.0,GROOM,False,True,False,3.649315068493151,7.795890410958904,False
696452,DESTRUCTION,ARSON,20.0,3,1845,UNKNOWN,162.56,25.0,0.0,Protestant,S,2.0,48.0,FARM LABOURER,False,False,False,3.649315068493151,7.795890410958904,False
696453,STEALING,BURGLARY,99.0,12,1844,UNKNOWN,167.64,28.0,3.0,Protestant,S,2.0,18.0,UNKNOWN,False,False,False,3.649315068493151,8.70958904109589,False
696454,ROBBERY,HIGHWAY_ROBBERY,15.0,3,1845,UNKNOWN,167.64,30.0,3.0,Protestant,S,2.0,152.0,BAKER,False,True,False,4.189041095890411,7.795890410958904,False
