Chromosome,MSE
110010000000,3.7508481055498124
110010000001,4.225708764791489
110010000010,3.893684071302414
110010000011,4.403954559564591
110010000100,3.703229454159737
110010000101,4.191387847065926
110010000110,4.139673373103141
110010000111,3.6962658405303954
110010001000,3.9232455044984818
110010001001,4.619807189702987
110010001010,4.67049765586853
110010001011,4.746606457233429
110010001100,3.9565101370215414
110010001101,4.133585169911385
110010001110,3.7266624182462693
110010001111,3.179611137509346
110010010000,4.379674690961838
110010010001,3.955112025141716
110010010010,4.257943466305733
110010010011,4.5899141192436215
110010010100,4.141966092586517
110010010101,3.852469673752785
110010010110,3.4394094169139864
110010010111,3.4516368925571443
110010011000,4.003686925768852
110010011001,4.0262675940990444
110010011010,4.242631089687348
110010011011,4.854485476016999
110010011100,4.243915289640427
110010011101,3.9877123832702637
110010011110,3.7600326150655747
110010011111,3.379384031891823
110010100000,3.747121176123619
110010100001,3.861270987987518
110010100010,4.189874476194381
110010100011,4.389848256111145
110010100100,3.7235558450222017
110010100101,3.673922023177147
110010100110,3.553855264186859
110010100111,3.528878688812256
110010101000,3.635170376300812
110010101001,4.374825468659401
110010101010,3.8452530920505525
110010101011,4.101402741670609
110010101100,3.9616667538881303
110010101101,3.851832515001297
110010101110,3.593295170366764
110010101111,3.1163973301649093
110010110000,6.202118766307831
110010110001,3.9969967156648636
110010110010,3.697430869936943
110010110011,4.305113279819489
110010110100,4.04146888256073
110010110101,4.643759644031524
110010110110,5.014145946502685
110010110111,5.0498751401901245
110010111000,3.2107283055782316
110010111001,3.556164935231209
110010111010,3.688323938846588
110010111011,4.655845436453819
110010111100,4.473965764045715
110010111101,4.9464167892932895
110010111110,5.1237149119377134
110010111111,6.679479253292084
110011000000,4.3816047489643095
110011000001,4.478800278902054
110011000010,4.9862518310546875
110011000011,4.6807536542415615
110011000100,5.279631423950195
110011000101,4.5871637403965
110011000110,4.812574487924576
110011000111,4.395286226272583
110011001000,4.668935757875443
110011001001,4.926503175497055
110011001010,4.571471637487411
110011001011,4.798326301574707
110011001100,4.558617803454399
110011001101,4.12125526368618
110011001110,4.105842471122742
110011001111,3.3182831943035125
110011010000,4.772388744354248
110011010001,4.907908499240875
110011010010,4.28769268989563
110011010011,4.2819995999336244
110011010100,4.421200823783875
110011010101,3.9515110909938813
110011010110,3.5518393367528915
110011010111,3.4959099501371385
110011011000,4.644151884317398
110011011001,4.5059374392032625
110011011010,4.80535586476326
110011011011,4.3739097774028775
110011011100,4.413442701101303
110011011101,4.035707196593284
110011011110,3.7846147775650025
110011011111,3.281569543480873
110011100000,4.562264603376389
110011100001,4.247293365001679
110011100010,4.472945284843445
110011100011,4.802508860826492
110011100100,4.091148453950882
110011100101,3.9382896214723586
110011100110,3.6662888318300246
110011100111,3.4303627520799638
110011101000,4.255412068963051
110011101001,4.446006092429161
110011101010,4.089837655425072
110011101011,4.300433880090713
110011101100,4.58007982969284
110011101101,4.1658119648695
110011101110,4.330213288962841
110011101111,3.844630354642868
110011110000,3.7605366110801697
110011110001,4.375290343165398
110011110010,3.932836276292801
110011110011,4.326792323589325
110011110100,4.428618389368057
110011110101,5.016761195659638
110011110110,4.650844860076904
110011110111,5.2340151309967045
110011111000,3.8302436858415603
110011111001,3.9782158583402634
110011111010,3.7231382757425306
110011111011,4.4090882509946825
110011111100,4.993630462884903
110011111101,5.4762555539608
110011111110,5.854622501134872
110011111111,6.79654107093811
