Chromosome,MSE
010000000000000,4.357846269011498
010000000000001,3.675388839840889
010000000000010,4.296549677848816
010000000000011,2.2384700894355776
010000000000100,3.5857942163944245
010000000000101,2.230268415808678
010000000000110,2.258220785856247
010000000000111,2.2551253587007523
010000000001000,2.961690144240856
010000000001001,2.2559688687324524
010000000001010,2.22987340092659
010000000001011,2.369735914468765
010000000001100,2.335749036073685
010000000001101,2.2671709418296815
010000000001110,2.2732065230607987
010000000001111,2.292040628194809
010000000010000,5.84654276072979
010000000010001,2.248899334669113
010000000010010,2.2264679223299026
010000000010011,2.256352549791336
010000000010100,2.252594217658043
010000000010101,2.2776403069496154
010000000010110,2.2774350702762605
010000000010111,2.299119031429291
010000000011000,2.2375312209129334
010000000011001,2.271979722380638
010000000011010,2.303453153371811
010000000011011,2.288202312588692
010000000011100,2.33816921710968
010000000011101,2.2810541063547136
010000000011110,2.269037464261055
010000000011111,2.298537586629391
010000000100000,2.2080251783132554
010000000100001,2.288160988688469
010000000100010,2.190635362267494
010000000100011,2.303735700249672
010000000100100,2.264344888925552
010000000100101,2.2898492366075516
010000000100110,2.2641296684741974
010000000100111,2.3332862675189974
010000000101000,2.260172498226166
010000000101001,2.372036388516426
010000000101010,2.2618873089551927
010000000101011,2.3342049181461335
010000000101100,2.331646630167961
010000000101101,2.345054644346237
010000000101110,2.3174025267362595
010000000101111,2.3429024785757067
010000000110000,2.2639235466718675
010000000110001,2.3453664243221284
010000000110010,2.300359454751015
010000000110011,2.3255676299333574
010000000110100,2.308228576183319
010000000110101,2.2858093857765196
010000000110110,2.3706909656524657
010000000110111,2.3569166898727416
010000000111000,2.276486486196518
010000000111001,2.287377578020096
010000000111010,2.4210968196392058
010000000111011,2.414878171682358
010000000111100,2.3659392178058622
010000000111101,2.2738083750009537
010000000111110,2.4007617086172104
010000000111111,2.3487105816602707
