Chromosome,MSE
100000000000000,4.127883946895599
100000000000001,3.5308177947998045
100000000000010,4.273266273736954
100000000000011,2.1846478044986726
100000000000100,2.848080837726593
100000000000101,2.2249077171087266
100000000000110,2.201180765032768
100000000000111,2.2684530198574064
100000000001000,2.904620960354805
100000000001001,2.2296509101986883
100000000001010,2.1606215447187425
100000000001011,2.3829545736312867
100000000001100,2.2319593608379362
100000000001101,2.2965692073106765
100000000001110,2.339028996229172
100000000001111,2.3053521156311034
100000000010000,5.181055355072021
100000000010001,2.1923991084098815
100000000010010,2.1881797552108764
100000000010011,2.252402111887932
100000000010100,2.1892165899276734
100000000010101,2.2809173583984377
100000000010110,2.2156566470861434
100000000010111,2.2657651901245117
100000000011000,2.1873604476451876
100000000011001,2.21968260705471
100000000011010,2.230558291077614
100000000011011,2.305760684609413
100000000011100,2.3203734695911407
100000000011101,2.260401213169098
100000000011110,2.2070038482546805
100000000011111,2.3018974155187606
100000000100000,2.139916169643402
100000000100001,2.172760558128357
100000000100010,2.12621114552021
100000000100011,2.215804696083069
100000000100100,2.2070109874010084
100000000100101,2.2438948154449463
100000000100110,2.228676161170006
100000000100111,2.3071769922971725
100000000101000,2.182020789384842
100000000101001,2.379512143135071
100000000101010,2.2577595859766006
100000000101011,2.324453812837601
100000000101100,2.2256218045949936
100000000101101,2.3159878477454185
100000000101110,2.1982120513916015
100000000101111,2.2511681228876115
100000000110000,2.1966772586107255
100000000110001,2.255073156952858
100000000110010,2.2278323441743852
100000000110011,2.3097818076610563
100000000110100,2.2286427497863768
100000000110101,2.3085785657167435
100000000110110,2.361445513367653
100000000110111,2.33032945394516
100000000111000,2.2505484193563463
100000000111001,2.234703707695007
100000000111010,2.304059261083603
100000000111011,2.445527213811874
100000000111100,2.3268442332744597
100000000111101,2.2698777675628663
100000000111110,2.2882389694452288
100000000111111,2.336190217733383
100000001000000,3.392620724439621
100000001000001,2.151214948296547
100000001000010,2.1392142131924627
100000001000011,2.2096232056617735
100000001000100,2.136701187491417
100000001000101,2.298720046877861
100000001000110,2.217457267642021
100000001000111,2.201653558015823
100000001001000,2.1450477987527847
100000001001001,2.273427450656891
100000001001010,2.2521619737148284
100000001001011,2.326459413766861
100000001001100,2.2074926018714907
100000001001101,2.252772054076195
100000001001110,2.216837075352669
100000001001111,2.346944805979729
100000001010000,2.1286688536405562
100000001010001,2.1791647404432295
100000001010010,2.2163986384868624
100000001010011,2.278966024518013
100000001010100,2.177177506685257
100000001010101,2.213098573684692
100000001010110,2.262310725450516
100000001010111,2.2846755027770995
100000001011000,2.2140591204166413
100000001011001,2.2813098460435866
100000001011010,2.330798250436783
100000001011011,2.358423984050751
100000001011100,2.2932219415903092
100000001011101,2.3617901623249056
100000001011110,2.3769351929426192
100000001011111,2.3734447777271273
100000001100000,2.1090649649500848
100000001100001,2.1648609429597854
100000001100010,2.1910742253065107
100000001100011,2.2268118500709533
100000001100100,2.245910730957985
100000001100101,2.228359949588776
100000001100110,2.2880135506391523
100000001100111,2.2500197529792785
100000001101000,2.1483399093151094
100000001101001,2.2567405879497526
100000001101010,2.2453292459249496
100000001101011,2.3380737960338593
100000001101100,2.230306738615036
100000001101101,2.2051878064870833
100000001101110,2.245948725938797
100000001101111,2.280382204055786
100000001110000,2.158206644654274
100000001110001,2.160698175430298
100000001110010,2.271819543838501
100000001110011,2.319426104426384
100000001110100,2.259129923582077
100000001110101,2.2435115218162536
100000001110110,2.2993411004543303
100000001110111,2.2465014338493345
100000001111000,2.270597419142723
100000001111001,2.241098615527153
100000001111010,2.3350041061639786
100000001111011,2.356540232896805
100000001111100,2.420105132460594
100000001111101,2.2956835359334944
100000001111110,2.31744070649147
100000001111111,2.360646313428879
100000010000000,4.388197340071201
100000010000001,2.260237854719162
100000010000010,2.152061235904694
100000010000011,2.2273706078529356
100000010000100,2.164309710264206
100000010000101,2.208694100379944
100000010000110,2.2491374045610426
100000010000111,2.308713732659817
100000010001000,2.126223000884056
100000010001001,2.2667986899614334
100000010001010,2.2048005640506743
100000010001011,2.319982632994652
100000010001100,2.2282361298799516
100000010001101,2.336569195985794
100000010001110,2.355807727575302
100000010001111,2.3623672038316728
100000010010000,2.1455279380083083
100000010010001,2.2179742962121964
100000010010010,2.1729582488536834
100000010010011,2.2964059203863143
100000010010100,2.2403389900922774
100000010010101,2.2919863790273665
100000010010110,2.2471838027238844
100000010010111,2.3455692738294602
100000010011000,2.237623155117035
100000010011001,2.245377001166344
100000010011010,2.316617177426815
100000010011011,2.3205854058265687
100000010011100,2.31276920735836
100000010011101,2.350414031744003
100000010011110,2.2636023104190826
100000010011111,2.3391528367996215
100000010100000,2.210228385031223
100000010100001,2.2122074872255326
100000010100010,2.23390494287014
100000010100011,2.3042410135269167
100000010100100,2.2357604265213014
